origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:00:00-05:00||42.3747715|-71.0290294|1336|17264|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:12:00-05:00||42.374262|-71.030395|n/a|10935|2419|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:24:00-05:00||42.374262|-71.030395|n/a|10935|2419|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA||finish|tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:12:00-05:00|42.3748754/-71.1186191|42.3748754|-71.1186191|41|146|60|-71.1191387|42.3736294|42.374262|-71.030395|n/a|10815|2379|-71.1184576|42.3748562
Harvard transit station Boston MA||finish|tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:12:00-05:00|42.3667859/-71.1060218|42.3667859|-71.1060218|249|1387|328|-71.1186766|42.3732897|42.374262|-71.030395|n/a|8929|1956|-71.106102|42.366717
Harvard transit station Boston MA||finish|tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:12:00-05:00|42.3720655/-71.1154222|42.3720655|-71.1154222|187|965|251|-71.1186766|42.3732897|42.374262|-71.030395|n/a|10079|2244|-71.115202|42.372401
Harvard transit station Boston MA||finish|tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:12:00-05:00|42.3478457/-71.0880068|42.3478457|-71.0880068|633|5198|789|-71.1186766|42.3732897|42.374262|-71.030395|n/a|6244|1500|-71.087903|42.347888
Harvard transit station Boston MA||finish|tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:12:00-05:00|42.357596/-71.092797|42.357596|-71.092797|513|5122|644|-71.1186766|42.3732897|42.374262|-71.030395|n/a|7745|1651|-71.092797|42.357596
Harvard transit station Boston MA||finish|tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:12:00-05:00|42.3615322/-71.0980015|42.3615322|-71.0980015|479|2328|649|-71.1186766|42.3732897|42.374262|-71.030395|n/a|8081|1798|-71.0980015|42.3615322
Harvard transit station Boston MA||finish|tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:12:00-05:00|42.3691895/-71.1108231|42.3691895|-71.1108231|179|909|233|-71.1186766|42.3732897|42.374262|-71.030395|n/a|9367|2054|-71.110427|42.368951
Harvard transit station Boston MA||finish|tolls|Airport station Boston MA|driving|metric|eastern|2017-04-11 04:24:00-05:00|42.3586466/-71.057326|42.3586466|-71.057326|n/a|6025|1097|-71.118956|42.373362|42.3747715|-71.0290294|563|4951|641|-71.0571914|42.3586696
