origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-20 04:00:00-05:00||42.3747715|-71.0290294|1408|18524|1504|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00||42.37426199999999|-71.03039500000001|n/a|10935|2418|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00||42.37426199999999|-71.03039500000001|n/a|10935|2418|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Massachusetts Ave @ Johnston Gate|42.3748663|-71.11851820000001|n/a|54|40|-71.11873600000001|42.3744235|42.3747715|-71.0290294|980|13878|1123|-71.1186191|42.3748754
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Massachusetts Ave @ Pleasant St|42.366717|-71.10610199999999|n/a|2024|438|-71.1189852|42.3743279|42.3747715|-71.0290294|872|13165|993|-71.1060218|42.3667859
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Massachusetts Ave @ Bow St|42.372114|-71.1153885|n/a|360|275|-71.1190302|42.3733846|42.3747715|-71.0290294|839|13107|974|-71.1154406|42.3720809
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Hynes Convention Center|42.347839|-71.0878674|n/a|4691|1194|-71.1189852|42.3743279|42.3747715|-71.0290294|685|14125|783|-71.08769769999999|42.3476879
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Massachusetts Ave @ Memorial Dr|42.357596|-71.09279699999999|n/a|3537|1002|-71.1189852|42.3743279|42.3747715|-71.0290294|694|9106|773|-71.09279699999999|42.357596
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Massachusetts Avenue/Landsdowne St.|42.3615322|-71.0980015|n/a|2967|871|-71.1189852|42.3743279|42.3747715|-71.0290294|846|9770|963|-71.0980015|42.3615322
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Massachusetts Ave @ Dana St|42.368951|-71.110427|n/a|1587|348|-71.1189852|42.3743279|42.3747715|-71.0290294|846|13327|983|-71.11082309999999|42.3691895
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|State|42.35866960000001|-71.0571914|812|10442|932|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|3042|368|-71.0573287|42.3587181
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Maverick|42.3690685|-71.0393923|989|12048|1093|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|1019|140|-71.0395296|42.3691186
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Government Center|42.3596291|-71.0597895|810|8172|933|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|3290|452|-71.059215|42.359705
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Airport Station|42.3745164|-71.0305389|895|12036|982|-71.1191387|42.3736294|42.3745342|-71.0303845|n/a|14|10|-71.0302823|42.374527
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Aquarium|42.3596586|-71.05154639999999|805|10614|977|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|2570|289|-71.05165199999999|42.359784
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-20 04:15:00-05:00||42.3747715|-71.0290294|1368|18524|1504|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:15:00-05:00||42.37426199999999|-71.03039500000001|n/a|9032|2100|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:15:00-05:00||42.37426199999999|-71.03039500000001|n/a|9032|2100|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:15:00-05:00|Kendall|42.3622401|-71.0862248|n/a|3108|360|-71.118956|42.373362|42.3747715|-71.0290294|638|7111|729|-71.08620309999999|42.3623895
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:15:00-05:00|Downtown Crossing|42.3549333|-71.0601701|n/a|5509|720|-71.118956|42.373362|42.3747715|-71.0290294|688|7020|768|-71.05975|42.3549395
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:15:00-05:00|Charles/MGH|42.361166|-71.070628|n/a|4369|480|-71.118956|42.373362|42.3747715|-71.0290294|501|5800|540|-71.070619|42.3611521
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:15:00-05:00|Harvard|42.3733846|-71.1190302|n/a|0|0|-71.1190302|42.3733846|42.3747715|-71.0290294|881|13360|1034|-71.1187599|42.3732424
Harvard transit station Boston MA|begin|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:15:00-05:00|Central|42.365486|-71.103802|n/a|1559|180|-71.118956|42.373362|42.3747715|-71.0290294|901|13288|1036|-71.103606|42.3653463
Harvard transit station Boston MA|end|start||Airport station Boston MA|transit|imperial|eastern|2017-04-20 04:15:00-05:00|State|42.35866960000001|-71.0571914|817|10442|932|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|3042|368|-71.0573287|42.3587181
