origin|avoid|destination|mode|units|timezone|departure_time|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
John Hancock Center Chicago IL|tolls|(41.880345, -87.769499)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8802565|-87.7694957|1077|16827|1377|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.880345, -87.75546066666666)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8803905|-87.7554621|1003|15665|1297|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.880345, -87.74142233333333)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8805412|-87.7414263|977|14230|1266|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.880345, -87.727384)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8807148|-87.727391|948|13017|1224|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.87027966666667, -87.769499)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8700368|-87.7695292|989|16791|1251|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.87027966666667, -87.75546066666666)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.87028189999999|-87.7553298|982|15296|1238|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.87027966666667, -87.74142233333333)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8705003|-87.7414271|970|14146|1232|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.87027966666667, -87.727384)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.870272|-87.7277715|960|13139|1224|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.86021433333333, -87.769499)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8602113|-87.76968389999999|1157|17891|1459|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.86021433333333, -87.75546066666666)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.860259|-87.7543507|1002|15992|1274|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.86021433333333, -87.74142233333333)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8595473|-87.7428429|1121|15438|1396|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.86021433333333, -87.727384)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8602132|-87.72743659999999|1070|13988|1352|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.850149, -87.769499)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8501398|-87.77002069999999|1240|18960|1562|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.850149, -87.75546066666666)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8501957|-87.755462|1197|17227|1492|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.850149, -87.74142233333333)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8501427|-87.7417727|1194|16297|1485|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.850149, -87.727384)|driving|imperial|central|2017-04-17 05:00:00-05:00|41.8501518|-87.7273858|1155|15046|1478|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.880345, -87.769499)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.880264|-87.76966100000001|n/a|14296|3309|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.880345, -87.75546066666666)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.880466|-87.755333|n/a|13109|3088|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.880345, -87.74142233333333)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8805412|-87.7414263|n/a|11962|2920|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.880345, -87.727384)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8807148|-87.727391|n/a|10970|2751|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.87027966666667, -87.769499)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8700368|-87.7695292|n/a|16191|3074|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.87027966666667, -87.75546066666666)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.87028189999999|-87.7553298|n/a|13915|3158|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.87027966666667, -87.74142233333333)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8705003|-87.7414271|n/a|13339|2733|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.87027966666667, -87.727384)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.870272|-87.7277715|n/a|11813|2558|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.86021433333333, -87.769499)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8602113|-87.76968389999999|n/a|17199|4055|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.86021433333333, -87.75546066666666)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8603571|-87.7544163|n/a|14946|3295|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.86021433333333, -87.74142233333333)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8595473|-87.7428429|n/a|14581|3846|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.86021433333333, -87.727384)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8602132|-87.72743659999999|n/a|13493|3393|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.850149, -87.769499)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8501398|-87.77002069999999|n/a|18282|4051|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.850149, -87.75546066666666)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8501957|-87.755462|n/a|16191|3611|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.850149, -87.74142233333333)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8501427|-87.7417727|n/a|16487|3208|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.850149, -87.727384)|transit|imperial|central|2017-04-17 05:00:00-05:00|41.8501518|-87.7273858|n/a|14793|3060|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.880345, -87.769499)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8802565|-87.7694957|1098|16827|1377|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.880345, -87.75546066666666)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8803905|-87.7554621|1034|15665|1297|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.880345, -87.74142233333333)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8805412|-87.7414263|1013|14230|1266|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.880345, -87.727384)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8807148|-87.727391|961|13017|1224|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.87027966666667, -87.769499)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8700368|-87.7695292|1009|16791|1251|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.87027966666667, -87.75546066666666)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.87028189999999|-87.7553298|998|15296|1238|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.87027966666667, -87.74142233333333)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8705003|-87.7414271|991|14146|1232|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.87027966666667, -87.727384)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.870272|-87.7277715|961|13139|1224|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.86021433333333, -87.769499)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8602113|-87.76968389999999|1179|17891|1459|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.86021433333333, -87.75546066666666)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.860259|-87.7543507|1019|15992|1274|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.86021433333333, -87.74142233333333)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8595473|-87.7428429|1137|15438|1396|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.86021433333333, -87.727384)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8602132|-87.72743659999999|1064|13988|1352|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.850149, -87.769499)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8501398|-87.77002069999999|1269|18960|1562|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.850149, -87.75546066666666)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8501957|-87.755462|1215|17227|1492|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.850149, -87.74142233333333)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8501427|-87.7417727|1213|16297|1485|-87.6223382|41.898416
John Hancock Center Chicago IL|tolls|(41.850149, -87.727384)|driving|imperial|central|2017-04-17 05:12:00-05:00|41.8501518|-87.7273858|1158|15046|1478|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.880345, -87.769499)|transit|imperial|central|2017-04-17 05:12:00-05:00|41.880264|-87.76966100000001|n/a|14296|3458|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.880345, -87.75546066666666)|transit|imperial|central|2017-04-17 05:12:00-05:00|41.8803905|-87.7554621|n/a|13641|3157|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.880345, -87.74142233333333)|transit|imperial|central|2017-04-17 05:12:00-05:00|41.8805412|-87.7414263|n/a|12891|3147|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.880345, -87.727384)|transit|imperial|central|2017-04-17 05:12:00-05:00|41.8807148|-87.727391|n/a|11073|2772|-87.6223382|41.898416
John Hancock Center Chicago IL||(41.87027966666667, -87.769499)|transit|imperial|central|2017-04-17 05:12:00-05:00|41.8700368|-87.7695292|n/a|16277|3457|-87.6223382|41.898416
