origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
New York University|||tolls|LaGuardia Airport|driving|metric|eastern|2017-04-18 04:00:00-05:00||40.7714389|-73.8718939|1131|15864|1475|-73.9997754|40.7271183|||||||
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00||40.774038|-73.872079|n/a|19273|2944|-73.9943721|40.7284833|||||||
New York University|end|finish||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00||40.774038|-73.872079|n/a|19273|2944|-73.9943721|40.7284833|||||||
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00|40.7522756/-73.9774709|40.7522756|-73.9774709|679|3329|885|-73.9932975|40.7295629|40.774059|-73.871857|n/a|16868|2760|-73.9772294|40.7527262
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00|40.7400309999999/-73.9864087999999|40.740031|-73.9864088|374|1769|529|-73.9932975|40.7295629|40.774038|-73.872079|n/a|17686|2460|-73.9863381|40.7400007
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00|40.7301688/-73.9909924999999|40.7301688|-73.9909925|126|579|169|-73.9932975|40.7295629|40.774038|-73.872079|n/a|18881|2700|-73.99107|40.730054
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00|40.7432513/-73.9839054999999|40.7432513|-73.9839055|493|2196|675|-73.9932975|40.7295629|40.774038|-73.872079|n/a|17251|2400|-73.9838629|40.7433087
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00|40.7466223/-73.9818023|40.7466223|-73.9818023|685|3342|899|-73.9932975|40.7295629|40.774038|-73.872079|n/a|16861|2340|-73.9818873|40.7466576
New York University|end|finish||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00|40.7505727/-73.9760070999999|40.7505727|-73.9760071|n/a|3334|935|-73.9943721|40.7284833|40.7714389|-73.8718939|823|13332|896|-73.9760036|40.7505712
New York University|end|finish||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:00:00-05:00|40.774038/-73.872079|40.774038|-73.872079|n/a|19273|3004|-73.9943721|40.7284833|40.7734911|-73.8758586|77|334|83|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|metric|eastern|2017-04-18 04:15:00-05:00||40.7714389|-73.8718939|1125|16070|1475|-73.9932975|40.7295629|||||||
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:15:00-05:00||40.774059|-73.871857|n/a|19238|2979|-73.9943326|40.7285304|||||||
New York University|end|finish||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:15:00-05:00||40.774059|-73.871857|n/a|19238|2979|-73.9943326|40.7285304|||||||
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:15:00-05:00|40.73101/-74.0013002|40.73101|-74.0013002|102|254|130|-74.0001873|40.7313277|40.774059|-73.871857|n/a|18592|2700|-74.0012201|40.7311041
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:15:00-05:00|40.7602762/-73.9754916|40.7602762|-73.9754916|866|5119|1397|-73.9997754|40.7271183|40.774059|-73.871857|n/a|13595|2040|-73.9755398|40.7602095
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:15:00-05:00|40.7565965/-73.9143236|40.7565965|-73.9143236|1322|13555|1704|-73.9997754|40.7271183|40.774059|-73.871857|n/a|7451|1380|-73.9143964|40.7566297
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:15:00-05:00|40.7520038/-73.9287806|40.7520038|-73.9287806|1191|7927|1572|-73.9932975|40.7295629|40.774059|-73.871857|n/a|9077|1560|-73.928781|40.752039
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:15:00-05:00|40.7465008/-73.8910021|40.7465008|-73.8910021|1138|12147|1453|-73.9997754|40.7271183|40.774059|-73.871857|n/a|5259|543|-73.8907842|40.7466375
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-18 04:15:00-05:00|40.7480716/-73.9471688|40.7480716|-73.9471688|937|6432|1204|-73.9932975|40.7295629|40.774059|-73.871857|n/a|10821|1800|-73.9472068|40.747956
