origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|metric|central|2017-04-11 05:00:00-05:00||41.9472917|-87.6565753|1476|21726|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00||41.947147|-87.656181|n/a|22530|3022|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00||41.947147|-87.656181|n/a|22530|3022|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9472665/-87.7191813|41.9472665|-87.7191813|691|16576|756|-87.8822525|41.9797233|41.947147|-87.656181|n/a|5310|1126|-87.718247|41.9473745
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9706621/-87.7612831|41.9706621|-87.7612831|535|12230|567|-87.8822525|41.9797233|41.947147|-87.656181|n/a|9656|1680|-87.760895|41.970634
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9841479/-87.8381263|41.9841479|-87.8381263|279|5310|301|-87.8822525|41.9797233|41.947147|-87.656181|n/a|16415|2275|-87.838028|41.984245
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9833846/-87.8594648999999|41.9833846|-87.8594649|208|3540|228|-87.8822525|41.9797233|41.947147|-87.656181|n/a|18185|2752|-87.85939|41.983505
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9777944/-87.9040972|41.9777944|-87.9040972|280|3057|333|-87.8822525|41.9797233|41.947147|-87.656181|n/a|22530|3082|-87.904221|41.977665
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9613378/-87.7437803999999|41.9613378|-87.7437804|832|15288|918|-87.8822525|41.9797233|41.947147|-87.656181|n/a|7885|1518|-87.743576|41.96154
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9822096/-87.8075105|41.9822096|-87.8075105|376|7885|406|-87.8822525|41.9797233|41.947147|-87.656181|n/a|13840|1943|-87.8075119|41.9823319
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.946712/-87.6859279999999|41.946712|-87.685928|n/a|19955|2477|-87.904221|41.977665|41.9472917|-87.6565753|377|2414|429|-87.685929|41.9467579
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9466122/-87.7089594999999|41.9466122|-87.7089595|n/a|18024|1902|-87.904221|41.977665|41.9472917|-87.6565753|632|4345|777|-87.7089595|41.9466122
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.946976/-87.66655|41.946976|-87.66655|n/a|21565|2806|-87.904221|41.977665|41.9472917|-87.6565753|118|804|145|-87.6663359|41.9470228
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.9465079/-87.7179123|41.9465079|-87.7179123|n/a|17380|1395|-87.904221|41.977665|41.9472917|-87.6565753|778|5149|925|-87.7179123|41.9465079
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.946835/-87.6762239999999|41.946835|-87.676224|n/a|20760|2642|-87.904221|41.977665|41.9472917|-87.6565753|288|1609|320|-87.6762239|41.9468801
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.946625/-87.698135|41.946625|-87.698135|n/a|18990|2285|-87.904221|41.977665|41.9472917|-87.6565753|517|3379|610|-87.697853|41.9466942
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:00:00-05:00|41.947147/-87.6561809999999|41.947147|-87.656181|n/a|22530|2990|-87.904221|41.977665|41.9472917|-87.6565753|8|39|12|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|metric|central|2017-04-11 05:15:00-05:00||41.9472917|-87.6565753|1539|21726|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00||41.947147|-87.656181|n/a|22530|3264|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00||41.947147|-87.656181|n/a|22530|3316|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9472665/-87.7191813|41.9472665|-87.7191813|721|16576|756|-87.8822525|41.9797233|41.947147|-87.656181|n/a|5310|1191|-87.718247|41.9473745
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9706621/-87.7612831|41.9706621|-87.7612831|562|12230|567|-87.8822525|41.9797233|41.947147|-87.656181|n/a|9656|2530|-87.760895|41.970634
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9841479/-87.8381263|41.9841479|-87.8381263|289|5310|301|-87.8822525|41.9797233|41.947147|-87.656181|n/a|16415|2770|-87.838028|41.984245
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9833846/-87.8594648999999|41.9833846|-87.8594649|215|3540|228|-87.8822525|41.9797233|41.947147|-87.656181|n/a|18185|2873|-87.85939|41.983505
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9777944/-87.9040972|41.9777944|-87.9040972|338|3057|333|-87.8822525|41.9797233|41.947147|-87.656181|n/a|22530|3349|-87.904221|41.977665
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9613378/-87.7437803999999|41.9613378|-87.7437804|877|15288|918|-87.8822525|41.9797233|41.947147|-87.656181|n/a|7885|2349|-87.743576|41.96154
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9822096/-87.8075105|41.9822096|-87.8075105|393|7885|406|-87.8822525|41.9797233|41.947147|-87.656181|n/a|13840|2695|-87.8075119|41.9823319
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.946712/-87.6859279999999|41.946712|-87.685928|n/a|19955|2623|-87.904221|41.977665|41.9472917|-87.6565753|346|2414|429|-87.685929|41.9467579
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9466122/-87.7089594999999|41.9466122|-87.7089595|n/a|18024|1872|-87.904221|41.977665|41.9472917|-87.6565753|647|4345|777|-87.7089595|41.9466122
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.946976/-87.66655|41.946976|-87.66655|n/a|21565|2981|-87.904221|41.977665|41.9472917|-87.6565753|120|804|145|-87.6663359|41.9470228
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.9465079/-87.7179123|41.9465079|-87.7179123|n/a|17380|1365|-87.904221|41.977665|41.9472917|-87.6565753|762|5149|925|-87.7179123|41.9465079
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.946835/-87.6762239999999|41.946835|-87.676224|n/a|20760|2803|-87.904221|41.977665|41.9472917|-87.6565753|265|1609|320|-87.6762239|41.9468801
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.946625/-87.698135|41.946625|-87.698135|n/a|18990|2412|-87.904221|41.977665|41.9472917|-87.6565753|498|3379|610|-87.697853|41.9466942
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:15:00-05:00|41.947147/-87.6561809999999|41.947147|-87.656181|n/a|22530|3176|-87.904221|41.977665|41.9472917|-87.6565753|14|39|12|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|metric|central|2017-04-11 05:30:00-05:00||41.9472917|-87.6565753|1590|21726|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00||41.947147|-87.656181|n/a|22530|3389|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00||41.947147|-87.656181|n/a|22530|3309|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9472665/-87.7191813|41.9472665|-87.7191813|760|16576|756|-87.8822525|41.9797233|41.947147|-87.656181|n/a|5310|1307|-87.718247|41.9473745
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9706621/-87.7612831|41.9706621|-87.7612831|601|12230|567|-87.8822525|41.9797233|41.947147|-87.656181|n/a|9656|2583|-87.760895|41.970634
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9841479/-87.8381263|41.9841479|-87.8381263|308|5310|301|-87.8822525|41.9797233|41.947147|-87.656181|n/a|16415|2984|-87.838028|41.984245
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9833846/-87.8594648999999|41.9833846|-87.8594649|224|3540|228|-87.8822525|41.9797233|41.947147|-87.656181|n/a|18185|3019|-87.85939|41.983505
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9777944/-87.9040972|41.9777944|-87.9040972|303|3057|333|-87.8822525|41.9797233|41.947147|-87.656181|n/a|22530|3309|-87.904221|41.977665
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9613378/-87.7437803999999|41.9613378|-87.7437804|909|15288|918|-87.8822525|41.9797233|41.946945|-87.656418|n/a|8368|2040|-87.7432673|41.9619336
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9822096/-87.8075105|41.9822096|-87.8075105|436|7885|406|-87.8822525|41.9797233|41.947147|-87.656181|n/a|13840|2867|-87.8075119|41.9823319
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.946712/-87.6859279999999|41.946712|-87.685928|n/a|19955|2751|-87.904221|41.977665|41.9472917|-87.6565753|350|2414|429|-87.685929|41.9467579
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9466122/-87.7089594999999|41.9466122|-87.7089595|n/a|18024|1902|-87.904221|41.977665|41.9472917|-87.6565753|656|4345|777|-87.7089595|41.9466122
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.946976/-87.66655|41.946976|-87.66655|n/a|21565|3111|-87.904221|41.977665|41.9472917|-87.6565753|125|804|145|-87.6663359|41.9470228
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.9465079/-87.7179123|41.9465079|-87.7179123|n/a|17380|1395|-87.904221|41.977665|41.9472917|-87.6565753|775|5149|925|-87.7179123|41.9465079
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.946835/-87.6762239999999|41.946835|-87.676224|n/a|20760|2931|-87.904221|41.977665|41.9472917|-87.6565753|304|1609|320|-87.6762239|41.9468801
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.946625/-87.698135|41.946625|-87.698135|n/a|18990|2524|-87.904221|41.977665|41.9472917|-87.6565753|505|3379|610|-87.697853|41.9466942
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:30:00-05:00|41.947147/-87.6561809999999|41.947147|-87.656181|n/a|22530|3317|-87.904221|41.977665|41.9472917|-87.6565753|10|39|12|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|metric|central|2017-04-11 05:45:00-05:00||41.9472917|-87.6565753|1771|21726|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:45:00-05:00||41.947147|-87.656181|n/a|22530|3209|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:45:00-05:00||41.947147|-87.656181|n/a|22530|3249|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:45:00-05:00|41.9472665/-87.7191813|41.9472665|-87.7191813|924|16576|756|-87.8822525|41.9797233|41.947147|-87.656181|n/a|5310|1385|-87.718247|41.9473745
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:45:00-05:00|41.9706621/-87.7612831|41.9706621|-87.7612831|738|12230|567|-87.8822525|41.9797233|41.947147|-87.656181|n/a|9656|2429|-87.760895|41.970634
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:45:00-05:00|41.9841479/-87.8381263|41.9841479|-87.8381263|338|5310|301|-87.8822525|41.9797233|41.947147|-87.656181|n/a|16415|2852|-87.838028|41.984245
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|metric|central|2017-04-11 05:45:00-05:00|41.9833846/-87.8594648999999|41.9833846|-87.8594649|210|3540|228|-87.8822525|41.9797233|41.947147|-87.656181|n/a|18185|2839|-87.85939|41.983505
