origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 04:00:00-05:00||10.7 mi|42.3747715|-71.0290294|1368|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00||6.8 mi|42.374262|-71.030395|n/a|2419|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00||6.8 mi|42.374262|-71.030395|n/a|2419|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Massachusetts Ave @ Johnston Gate|479 ft|42.3748754|-71.1186191|47|60|-71.1191387|42.3736294|6.7 mi|42.374262|-71.030395|n/a|2379|-71.1184576|42.3748562
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Massachusetts Ave @ Pleasant St|0.9 mi|42.3667859|-71.1060218|277|328|-71.1186766|42.3732897|5.5 mi|42.374262|-71.030395|n/a|1956|-71.106102|42.366717
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Massachusetts Ave @ Bow St|0.6 mi|42.3720655|-71.1154222|213|251|-71.1186766|42.3732897|6.3 mi|42.374262|-71.030395|n/a|2244|-71.115202|42.372401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Hynes Convention Center|3.2 mi|42.3478457|-71.0880068|623|789|-71.1186766|42.3732897|3.9 mi|42.374262|-71.030395|n/a|1500|-71.087903|42.347888
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Massachusetts Ave @ Memorial Dr|3.2 mi|42.357596|-71.092797|513|644|-71.1186766|42.3732897|4.8 mi|42.374262|-71.030395|n/a|1651|-71.092797|42.357596
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Massachusetts Avenue/Landsdowne St.|2.0 mi|42.3615322|-71.0980015|505|616|-71.1191387|42.3736294|5.0 mi|42.374262|-71.030395|n/a|1798|-71.0980015|42.3615322
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Massachusetts Ave @ Dana St|0.6 mi|42.3691895|-71.1108231|200|233|-71.1186766|42.3732897|5.8 mi|42.374262|-71.030395|n/a|2054|-71.110427|42.368951
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1097|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|546|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Maverick|6.2 mi|42.3691186|-71.0395296|n/a|2299|-71.1189852|42.3743279|1.4 mi|42.3747715|-71.0290294|280|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Government Center|4.8 mi|42.359705|-71.059215|n/a|1579|-71.1189852|42.3743279|2.9 mi|42.3747715|-71.0290294|475|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Airport Station|6.8 mi|42.374262|-71.030395|n/a|2419|-71.1189852|42.3743279|0.6 mi|42.3747715|-71.0290294|106|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:00:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1478|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|563|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 04:12:00-05:00||10.7 mi|42.3747715|-71.0290294|1389|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00||5.6 mi|42.374262|-71.030395|n/a|2100|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00||5.6 mi|42.374262|-71.030395|n/a|2100|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|542|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1642|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00|Downtown Crossing|5.8 mi|42.3549395|-71.05975|936|1108|-71.1186766|42.3732897|2.2 mi|42.374262|-71.030395|n/a|743|-71.0599775|42.3550909
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00|Charles/MGH|2.9 mi|42.3611521|-71.070619|697|852|-71.1191387|42.3736294|2.7 mi|42.374262|-71.030395|n/a|1050|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00|Harvard|20 ft|42.3732593|-71.1187348|1|2|-71.1186766|42.3732897|5.6 mi|42.374262|-71.030395|n/a|2100|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00|Central|1.0 mi|42.3653463|-71.103606|339|431|-71.1186766|42.3732897|4.7 mi|42.374262|-71.030395|n/a|1790|-71.103802|42.365486
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1097|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|539|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1980|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|281|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 04:12:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1478|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|573|669|-71.0515464|42.3596586
