origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-11 04:00:00-05:00||9.9 mi|40.7715416|-73.8717269|1102|1464|-73.9997754|40.7271183|||||||
New York University|begin|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00||12.0 mi|40.774038|-73.872079|n/a|2944|-73.9943721|40.7284833|||||||
New York University|end|||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00||12.0 mi|40.774038|-73.872079|n/a|2944|-73.9943721|40.7284833|||||||
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00|Grand Central - 42 St Station|2.1 mi|40.7522756|-73.9774709|690|885|-73.9932975|40.7295629|10.2 mi|40.774038|-73.872079|n/a|1848|-73.9776136|40.7523191
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00|23 St|1.1 mi|40.740031|-73.9864088|387|529|-73.9932975|40.7295629|11.0 mi|40.774038|-73.872079|n/a|2520|-73.9863381|40.7400007
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.9909925|130|169|-73.9932975|40.7295629|11.7 mi|40.774038|-73.872079|n/a|2700|-73.99107|40.730054
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00|28 St|1.4 mi|40.7432513|-73.9839055|505|675|-73.9932975|40.7295629|10.7 mi|40.774038|-73.872079|n/a|2460|-73.9838629|40.7433087
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00|33 St|2.1 mi|40.7466223|-73.9818023|638|899|-73.9932975|40.7295629|10.5 mi|40.774038|-73.872079|n/a|2400|-73.9818873|40.7466576
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.9760071|n/a|935|-73.9943721|40.7284833|8.3 mi|40.7715416|-73.8717269|787|885|-73.9760036|40.7505712
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-11 04:00:00-05:00|LaGuardia Airport|12.0 mi|40.774038|-73.872079|n/a|3004|-73.9943721|40.7284833|0.2 mi|40.7734912|-73.8758585|83|96|-73.8720814|40.7740263
