origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-11 05:00:00-05:00||13.5 mi|41.9472917|-87.6565753|1476|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3022|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3022|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Addison|10.3 mi|41.9472665|-87.7191813|691|756|-87.8822525|41.9797233|3.3 mi|41.947147|-87.656181|n/a|1126|-87.718247|41.9473745
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Jefferson Park Transit Center|7.6 mi|41.9706621|-87.7612831|535|567|-87.8822525|41.9797233|6.0 mi|41.947147|-87.656181|n/a|1680|-87.760895|41.970634
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Cumberland|3.3 mi|41.9841479|-87.8381263|279|301|-87.8822525|41.9797233|10.2 mi|41.947147|-87.656181|n/a|2275|-87.838028|41.984245
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Rosemont|2.2 mi|41.9833846|-87.8594649|208|228|-87.8822525|41.9797233|11.3 mi|41.947147|-87.656181|n/a|2752|-87.85939|41.983505
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|O'Hare|1.9 mi|41.9777944|-87.9040972|280|333|-87.8822525|41.9797233|14.0 mi|41.947147|-87.656181|n/a|3082|-87.904221|41.977665
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Montrose (Blue)|9.5 mi|41.9613378|-87.7437804|832|918|-87.8822525|41.9797233|4.9 mi|41.947147|-87.656181|n/a|1518|-87.743576|41.96154
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Harlem|4.9 mi|41.9822096|-87.8075105|376|406|-87.8822525|41.9797233|8.6 mi|41.947147|-87.656181|n/a|1943|-87.8075119|41.9823319
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Addison & Oakley|12.4 mi|41.946712|-87.685928|n/a|2477|-87.904221|41.977665|1.5 mi|41.9472917|-87.6565753|377|429|-87.685929|41.9467579
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Addison & Elston|11.2 mi|41.9466122|-87.7089595|n/a|1902|-87.904221|41.977665|2.7 mi|41.9472917|-87.6565753|632|777|-87.7089595|41.9466122
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Addison & Greenview|13.4 mi|41.946976|-87.66655|n/a|2806|-87.904221|41.977665|0.5 mi|41.9472917|-87.6565753|118|145|-87.6663359|41.9470228
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Addison Blue Line Station|10.8 mi|41.9465079|-87.7179123|n/a|1395|-87.904221|41.977665|3.2 mi|41.9472917|-87.6565753|778|925|-87.7179123|41.9465079
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Addison & Wolcott|12.9 mi|41.946835|-87.676224|n/a|2642|-87.904221|41.977665|1.0 mi|41.9472917|-87.6565753|288|320|-87.6762239|41.9468801
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Addison & California|11.8 mi|41.946625|-87.698135|n/a|2285|-87.904221|41.977665|2.1 mi|41.9472917|-87.6565753|517|610|-87.697853|41.9466942
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:00:00-05:00|Addison & Clark|14.0 mi|41.947147|-87.656181|n/a|2990|-87.904221|41.977665|128 ft|41.9472917|-87.6565753|8|12|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-11 05:15:00-05:00||13.5 mi|41.9472917|-87.6565753|1539|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3264|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3316|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Addison|10.3 mi|41.9472665|-87.7191813|721|756|-87.8822525|41.9797233|3.3 mi|41.947147|-87.656181|n/a|1191|-87.718247|41.9473745
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Jefferson Park Transit Center|7.6 mi|41.9706621|-87.7612831|562|567|-87.8822525|41.9797233|6.0 mi|41.947147|-87.656181|n/a|2530|-87.760895|41.970634
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Cumberland|3.3 mi|41.9841479|-87.8381263|289|301|-87.8822525|41.9797233|10.2 mi|41.947147|-87.656181|n/a|2770|-87.838028|41.984245
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Rosemont|2.2 mi|41.9833846|-87.8594649|215|228|-87.8822525|41.9797233|11.3 mi|41.947147|-87.656181|n/a|2873|-87.85939|41.983505
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|O'Hare|1.9 mi|41.9777944|-87.9040972|338|333|-87.8822525|41.9797233|14.0 mi|41.947147|-87.656181|n/a|3349|-87.904221|41.977665
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Montrose (Blue)|9.5 mi|41.9613378|-87.7437804|877|918|-87.8822525|41.9797233|4.9 mi|41.947147|-87.656181|n/a|2349|-87.743576|41.96154
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Harlem|4.9 mi|41.9822096|-87.8075105|393|406|-87.8822525|41.9797233|8.6 mi|41.947147|-87.656181|n/a|2695|-87.8075119|41.9823319
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Addison & Oakley|12.4 mi|41.946712|-87.685928|n/a|2623|-87.904221|41.977665|1.5 mi|41.9472917|-87.6565753|346|429|-87.685929|41.9467579
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Addison & Elston|11.2 mi|41.9466122|-87.7089595|n/a|1872|-87.904221|41.977665|2.7 mi|41.9472917|-87.6565753|647|777|-87.7089595|41.9466122
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Addison & Greenview|13.4 mi|41.946976|-87.66655|n/a|2981|-87.904221|41.977665|0.5 mi|41.9472917|-87.6565753|120|145|-87.6663359|41.9470228
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Addison Blue Line Station|10.8 mi|41.9465079|-87.7179123|n/a|1365|-87.904221|41.977665|3.2 mi|41.9472917|-87.6565753|762|925|-87.7179123|41.9465079
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Addison & Wolcott|12.9 mi|41.946835|-87.676224|n/a|2803|-87.904221|41.977665|1.0 mi|41.9472917|-87.6565753|265|320|-87.6762239|41.9468801
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Addison & California|11.8 mi|41.946625|-87.698135|n/a|2412|-87.904221|41.977665|2.1 mi|41.9472917|-87.6565753|498|610|-87.697853|41.9466942
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:15:00-05:00|Addison & Clark|14.0 mi|41.947147|-87.656181|n/a|3176|-87.904221|41.977665|128 ft|41.9472917|-87.6565753|14|12|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-11 05:30:00-05:00||13.5 mi|41.9472917|-87.6565753|1590|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3389|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3309|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Addison|10.3 mi|41.9472665|-87.7191813|760|756|-87.8822525|41.9797233|3.3 mi|41.947147|-87.656181|n/a|1307|-87.718247|41.9473745
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Jefferson Park Transit Center|7.6 mi|41.9706621|-87.7612831|601|567|-87.8822525|41.9797233|6.0 mi|41.947147|-87.656181|n/a|2583|-87.760895|41.970634
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Cumberland|3.3 mi|41.9841479|-87.8381263|308|301|-87.8822525|41.9797233|10.2 mi|41.947147|-87.656181|n/a|2984|-87.838028|41.984245
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Rosemont|2.2 mi|41.9833846|-87.8594649|224|228|-87.8822525|41.9797233|11.3 mi|41.947147|-87.656181|n/a|3019|-87.85939|41.983505
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|O'Hare|1.9 mi|41.9777944|-87.9040972|303|333|-87.8822525|41.9797233|14.0 mi|41.947147|-87.656181|n/a|3309|-87.904221|41.977665
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Montrose (Blue)|9.5 mi|41.9613378|-87.7437804|909|918|-87.8822525|41.9797233|5.2 mi|41.946945|-87.656418|n/a|2040|-87.7432673|41.9619336
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Harlem|4.9 mi|41.9822096|-87.8075105|436|406|-87.8822525|41.9797233|8.6 mi|41.947147|-87.656181|n/a|2867|-87.8075119|41.9823319
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Addison & Oakley|12.4 mi|41.946712|-87.685928|n/a|2751|-87.904221|41.977665|1.5 mi|41.9472917|-87.6565753|350|429|-87.685929|41.9467579
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Addison & Elston|11.2 mi|41.9466122|-87.7089595|n/a|1902|-87.904221|41.977665|2.7 mi|41.9472917|-87.6565753|656|777|-87.7089595|41.9466122
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Addison & Greenview|13.4 mi|41.946976|-87.66655|n/a|3111|-87.904221|41.977665|0.5 mi|41.9472917|-87.6565753|125|145|-87.6663359|41.9470228
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Addison Blue Line Station|10.8 mi|41.9465079|-87.7179123|n/a|1395|-87.904221|41.977665|3.2 mi|41.9472917|-87.6565753|775|925|-87.7179123|41.9465079
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Addison & Wolcott|12.9 mi|41.946835|-87.676224|n/a|2931|-87.904221|41.977665|1.0 mi|41.9472917|-87.6565753|304|320|-87.6762239|41.9468801
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Addison & California|11.8 mi|41.946625|-87.698135|n/a|2524|-87.904221|41.977665|2.1 mi|41.9472917|-87.6565753|505|610|-87.697853|41.9466942
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:30:00-05:00|Addison & Clark|14.0 mi|41.947147|-87.656181|n/a|3317|-87.904221|41.977665|128 ft|41.9472917|-87.6565753|10|12|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-11 05:45:00-05:00||13.5 mi|41.9472917|-87.6565753|1771|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3209|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3249|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison|10.3 mi|41.9472665|-87.7191813|924|756|-87.8822525|41.9797233|3.3 mi|41.947147|-87.656181|n/a|1385|-87.718247|41.9473745
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Jefferson Park Transit Center|7.6 mi|41.9706621|-87.7612831|738|567|-87.8822525|41.9797233|6.0 mi|41.947147|-87.656181|n/a|2429|-87.760895|41.970634
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Cumberland|3.3 mi|41.9841479|-87.8381263|338|301|-87.8822525|41.9797233|10.2 mi|41.947147|-87.656181|n/a|2852|-87.838028|41.984245
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Rosemont|2.2 mi|41.9833846|-87.8594649|210|228|-87.8822525|41.9797233|11.3 mi|41.947147|-87.656181|n/a|2839|-87.85939|41.983505
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|O'Hare|1.9 mi|41.9777944|-87.9040972|277|333|-87.8822525|41.9797233|14.0 mi|41.947147|-87.656181|n/a|2981|-87.904221|41.977665
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Montrose (Blue)|9.5 mi|41.9613378|-87.7437804|1104|918|-87.8822525|41.9797233|4.9 mi|41.947147|-87.656181|n/a|2275|-87.743576|41.96154
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Harlem|4.9 mi|41.9822096|-87.8075105|527|406|-87.8822525|41.9797233|8.6 mi|41.947147|-87.656181|n/a|2733|-87.8075119|41.9823319
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison & Oakley|12.4 mi|41.946712|-87.685928|n/a|2611|-87.904221|41.977665|1.5 mi|41.9472917|-87.6565753|422|429|-87.685929|41.9467579
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison & Elston|11.2 mi|41.9466122|-87.7089595|n/a|1871|-87.904221|41.977665|2.7 mi|41.9472917|-87.6565753|690|777|-87.7089595|41.9466122
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison & Greenview|13.4 mi|41.946976|-87.66655|n/a|2931|-87.904221|41.977665|0.5 mi|41.9472917|-87.6565753|154|145|-87.6663359|41.9470228
