origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-14 05:00:00-05:00||41.9472917|-87.6565753|1536|21777|1730|-87.88225249999999|41.9797233|||||||
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00||41.947147|-87.65618099999999|n/a|22533|3042|-87.90422099999999|41.97766499999999|||||||
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00||41.947147|-87.65618099999999|n/a|22533|3042|-87.90422099999999|41.97766499999999|||||||
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Addison|41.94738|-87.719063|n/a|17230|1260|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|892|8666|1041|-87.7191813|41.9472665
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Jefferson Park Transit Center|41.970634|-87.76089499999999|n/a|12891|900|-87.90422099999999|41.97766499999999|41.94899789999999|-87.6571019|951|9614|1222|-87.7612831|41.9706621
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Cumberland|41.984245|-87.838028|n/a|6082|450|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|1270|16393|1428|-87.8381263|41.9841479
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Rosemont|41.983505|-87.85939|n/a|4308|330|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|1323|18161|1502|-87.85946489999999|41.9833846
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|O'Hare|41.9777944|-87.90409720000001|n/a|0|0|-87.9040974|41.97779449999999|41.9472917|-87.6565753|1654|23016|1910|-87.90409720000001|41.9777944
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Montrose (Blue)|41.96154|-87.74357599999999|n/a|14663|1020|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|964|11239|1195|-87.74378039999999|41.9613378
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Harlem|41.9823319|-87.8075119|n/a|8628|630|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|1157|13834|1324|-87.8075105|41.9822096
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Addison & Oakley|41.9467579|-87.685929|1191|19330|1301|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|2512|512|-87.68592799999999|41.946712
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Addison & Elston|41.9466122|-87.70895949999999|926|17425|953|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|4417|811|-87.70893099999999|41.94656
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Addison & Greenview|41.9470228|-87.66633589999999|1408|20950|1585|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|910|212|-87.66655|41.946976
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Addison Blue Line Station|41.9465079|-87.7179123|786|16684|806|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|5159|872|-87.71790999999999|41.9464033
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Addison & Wolcott|41.9468801|-87.6762239|1270|20132|1411|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|1700|331|-87.67622399999999|41.946835
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Addison & California|41.9466942|-87.697853|1057|18343|1120|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|3526|632|-87.698135|41.946625
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:00:00-05:00|Addison & Clark|41.9472015|-87.6561833|1512|21790|1721|-87.88225249999999|41.9797233|41.9472917|-87.6565753|n/a|39|33|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-14 05:15:00-05:00||41.9472917|-87.6565753|1537|21777|1730|-87.88225249999999|41.9797233|||||||
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00||41.947147|-87.65618099999999|n/a|22533|3316|-87.90422099999999|41.97766499999999|||||||
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00||41.947147|-87.65618099999999|n/a|22533|3264|-87.90422099999999|41.97766499999999|||||||
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Addison|41.94738|-87.719063|n/a|17230|1230|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|877|8666|1041|-87.7191813|41.9472665
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Jefferson Park Transit Center|41.970634|-87.76089499999999|n/a|12891|870|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|981|9607|1162|-87.7612831|41.9706621
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Cumberland|41.984245|-87.838028|n/a|6082|390|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|1247|16393|1428|-87.8381263|41.9841479
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Rosemont|41.983505|-87.85939|n/a|4308|330|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|1331|18161|1502|-87.85946489999999|41.9833846
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|O'Hare|41.9777944|-87.90409720000001|n/a|0|0|-87.9040974|41.97779449999999|41.9472917|-87.6565753|1680|23016|1910|-87.90409720000001|41.9777944
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Montrose (Blue)|41.96154|-87.74357599999999|n/a|14663|1050|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|994|11817|1246|-87.74378039999999|41.9613378
Ohare Airport|begin|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Harlem|41.9823319|-87.8075119|n/a|8628|569|-87.90422099999999|41.97766499999999|41.9472917|-87.6565753|1127|13834|1324|-87.8075105|41.9822096
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Addison & Oakley|41.9467579|-87.685929|1190|19330|1301|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|2512|512|-87.68592799999999|41.946712
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Addison & Elston|41.9466122|-87.70895949999999|893|17425|953|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|4417|920|-87.70893099999999|41.94656
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Addison & Greenview|41.9470228|-87.66633589999999|1417|20950|1585|-87.88225249999999|41.9797233|41.9472917|-87.6565753|n/a|827|630|-87.66633589999999|41.9470228
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Addison Blue Line Station|41.9465079|-87.7179123|762|16684|806|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|5159|1056|-87.71790999999999|41.9464033
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Addison & Wolcott|41.9468801|-87.6762239|1275|20132|1411|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|1700|391|-87.67622399999999|41.946835
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Addison & California|41.9466942|-87.697853|1040|18343|1120|-87.88225249999999|41.9797233|41.947147|-87.65618099999999|n/a|3526|752|-87.698135|41.946625
Ohare Airport|end|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-14 05:15:00-05:00|Addison & Clark|41.9472015|-87.6561833|1526|21790|1721|-87.88225249999999|41.9797233|41.9472917|-87.6565753|n/a|39|33|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-14 05:30:00-05:00||41.9472917|-87.6565753|1528|21777|1730|-87.88225249999999|41.9797233|||||||
