origin|avoid|destination|mode|units|timezone|departure_time|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
(41.961216, -87.713354)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|1114|13517|1476|-87.7133523|41.9611459
(41.961216, -87.69735975)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|1219|14809|1467|-87.6973599|41.9612614
(41.961216, -87.6813655)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|1023|13512|1222|-87.681388|41.9612155
(41.961216, -87.66537124999999)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|993|12093|1126|-87.6651572|41.9611771
(41.961216, -87.649377)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|706|10904|805|-87.6493686|41.9609489
(41.954185, -87.713354)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|1022|12781|1358|-87.7133612|41.9543522
(41.954185, -87.69735975)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|1041|12656|1339|-87.6973577|41.954035
(41.954185, -87.6813655)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|1082|13385|1309|-87.6813646|41.9541705
(41.954185, -87.66537124999999)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|854|11479|1003|-87.6653771|41.9543384
(41.954185, -87.649377)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|691|10225|793|-87.64971159999999|41.95418129999999
(41.947154, -87.713354)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|878|11995|1144|-87.713336|41.94715430000001
(41.947154, -87.69735975)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|939|11822|1202|-87.69736309999999|41.9466943
(41.947154, -87.6813655)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|1061|10678|1380|-87.6809797|41.9471592
(41.947154, -87.66537124999999)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|946|10979|1094|-87.6653675|41.947039
(41.947154, -87.649377)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|760|9683|874|-87.6494756|41.9471513
(41.940123, -87.713354)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|808|11302|1051|-87.71335549999999|41.9401803
(41.940123, -87.69735975)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|914|11140|1172|-87.6972394|41.9401234
(41.940123, -87.6813655)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|1035|11726|1305|-87.6813748|41.9404396
(41.940123, -87.66537124999999)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|874|10322|1085|-87.665363|41.9397386
(41.940123, -87.649377)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|681|9008|812|-87.64928379999999|41.9401249
(41.961216, -87.713354)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|12978|2854|-87.713203|41.961208
(41.961216, -87.69735975)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|17282|2987|-87.6973599|41.9612614
(41.961216, -87.6813655)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|14497|2474|-87.681388|41.9612155
(41.961216, -87.66537124999999)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|11090|2528|-87.6651572|41.9611771
(41.961216, -87.649377)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|11716|2285|-87.6493686|41.9609489
(41.954185, -87.713354)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|12251|2856|-87.7133612|41.9543522
(41.954185, -87.69735975)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|13366|2860|-87.6973594|41.9541097
(41.954185, -87.6813655)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|13680|2409|-87.6813646|41.9541705
(41.954185, -87.66537124999999)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|12005|2566|-87.6653771|41.9543384
(41.954185, -87.649377)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|8979|2001|-87.64971159999999|41.95418129999999
(41.947154, -87.713354)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|12132|2132|-87.713336|41.94715430000001
(41.947154, -87.69735975)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|12550|2290|-87.69736309999999|41.9466943
(41.947154, -87.6813655)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|12851|2345|-87.6809797|41.9471592
(41.947154, -87.66537124999999)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|11550|2101|-87.6653675|41.947039
(41.947154, -87.649377)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|9077|1438|-87.6494756|41.9471513
(41.940123, -87.713354)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|10656|1738|-87.71335549999999|41.9401803
(41.940123, -87.69735975)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|11830|2281|-87.6972394|41.9401234
(41.940123, -87.6813655)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|10452|2057|-87.6813748|41.9404396
(41.940123, -87.66537124999999)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|11650|2183|-87.665363|41.9397386
(41.940123, -87.649377)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:00:00-05:00|41.8845067|-87.6231086|n/a|8219|1317|-87.64928379999999|41.9401249
(41.961216, -87.713354)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|1118|13517|1476|-87.7133523|41.9611459
(41.961216, -87.69735975)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|1168|13482|1465|-87.6973599|41.9612614
(41.961216, -87.6813655)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|1072|13512|1222|-87.681388|41.9612155
(41.961216, -87.66537124999999)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|997|12093|1126|-87.6651572|41.9611771
(41.961216, -87.649377)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|718|10904|805|-87.6493686|41.9609489
(41.954185, -87.713354)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|1025|12781|1358|-87.7133612|41.9543522
(41.954185, -87.69735975)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|1041|12656|1339|-87.6973577|41.954035
(41.954185, -87.6813655)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|1083|13385|1309|-87.6813646|41.9541705
(41.954185, -87.66537124999999)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|858|11479|1003|-87.6653771|41.9543384
(41.954185, -87.649377)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|695|10225|793|-87.64971159999999|41.95418129999999
(41.947154, -87.713354)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|873|11995|1144|-87.713336|41.94715430000001
(41.947154, -87.69735975)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|928|11822|1202|-87.69736309999999|41.9466943
(41.947154, -87.6813655)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|1078|10678|1380|-87.6809797|41.9471592
(41.947154, -87.66537124999999)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|946|10979|1094|-87.6653675|41.947039
(41.947154, -87.649377)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|778|9683|874|-87.6494756|41.9471513
(41.940123, -87.713354)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|804|11302|1051|-87.71335549999999|41.9401803
(41.940123, -87.69735975)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|903|11140|1172|-87.6972394|41.9401234
(41.940123, -87.6813655)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|1020|11726|1305|-87.6813748|41.9404396
(41.940123, -87.66537124999999)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|904|10322|1085|-87.665363|41.9397386
(41.940123, -87.649377)|tolls|One Prudential Plaza Chicago IL|driving|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|714|9008|812|-87.64928379999999|41.9401249
(41.961216, -87.713354)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|12978|2704|-87.713203|41.961208
(41.961216, -87.69735975)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|15941|2826|-87.6973599|41.9612614
(41.961216, -87.6813655)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|14497|2503|-87.681388|41.9612155
(41.961216, -87.66537124999999)||One Prudential Plaza Chicago IL|transit|imperial|central|2017-04-19 05:15:00-05:00|41.8845067|-87.6231086|n/a|11090|2558|-87.6651572|41.9611771
