origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-24 04:00:00-05:00||42.3747715|-71.0290294|1321|18524|1504|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00||42.37426199999999|-71.03039500000001|n/a|10935|2418|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00||42.37426199999999|-71.03039500000001|n/a|10935|2418|-71.1189852|42.3743279|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Massachusetts Ave @ Johnston Gate|42.3748754|-71.1186191|50|146|62|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|10815|2378|-71.1184576|42.3748562
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Massachusetts Ave @ Pleasant St|42.3667859|-71.1060218|241|1387|323|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|8929|1980|-71.10610199999999|42.366717
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Massachusetts Ave @ Bow St|42.3720655|-71.1154222|186|965|248|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|10079|2257|-71.115202|42.372401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Hynes Convention Center|42.3478457|-71.0880068|601|5198|781|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|6244|1500|-71.087903|42.347888
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Massachusetts Ave @ Memorial Dr|42.357596|-71.09279699999999|505|5122|636|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|7745|1672|-71.09279699999999|42.357596
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Massachusetts Avenue/Landsdowne St.|42.3615322|-71.0980015|468|3152|612|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|8081|1824|-71.0980015|42.3615322
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Massachusetts Ave @ Dana St|42.3691895|-71.11082309999999|174|909|229|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|9367|2070|-71.110427|42.368951
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|State|42.3586466|-71.057326|n/a|6025|1097|-71.118956|42.373362|42.3747715|-71.0290294|543|4951|638|-71.0571914|42.35866960000001
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Maverick|42.3691186|-71.0395296|n/a|9917|2298|-71.1189852|42.3743279|42.3747715|-71.0290294|281|2229|323|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Government Center|42.359705|-71.059215|n/a|7645|1578|-71.1189852|42.3743279|42.3747715|-71.0290294|460|4661|532|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Airport Station|42.37426199999999|-71.03039500000001|n/a|10935|2418|-71.1189852|42.3743279|42.3747715|-71.0290294|104|970|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:00:00-05:00|Aquarium|42.3597918|-71.0515702|n/a|6493|1478|-71.118956|42.373362|42.3747715|-71.0290294|554|5011|665|-71.05154639999999|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-24 04:15:00-05:00||42.3747715|-71.0290294|1314|18524|1504|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00||42.37426199999999|-71.03039500000001|n/a|9032|2100|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00||42.37426199999999|-71.03039500000001|n/a|9032|2100|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|Kendall|42.3623895|-71.08620309999999|534|3653|694|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|5977|1704|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|Downtown Crossing|42.3549395|-71.05975|917|9337|1105|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|3553|743|-71.0599775|42.3550909
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|Charles/MGH|42.3611521|-71.070619|676|4597|845|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|4265|1050|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|Harvard|42.3732593|-71.11873480000001|1|6|2|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|9032|2100|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|Central|42.3653463|-71.103606|327|1642|426|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|7486|1823|-71.103802|42.365486
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|State|42.3586466|-71.057326|n/a|6025|1097|-71.118956|42.373362|42.3747715|-71.0290294|521|4951|638|-71.0571914|42.35866960000001
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|Maverick|42.3691186|-71.0395296|n/a|8013|1980|-71.118956|42.373362|42.3747715|-71.0290294|295|2229|323|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|Aquarium|42.3597918|-71.0515702|n/a|6493|1478|-71.118956|42.373362|42.3747715|-71.0290294|544|5011|665|-71.05154639999999|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:15:00-05:00|Airport Station|42.37426199999999|-71.03039500000001|n/a|9032|2100|-71.118956|42.373362|42.3747715|-71.0290294|102|970|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-24 04:30:00-05:00||42.3747715|-71.0290294|1324|18524|1504|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00||42.37426199999999|-71.03039500000001|n/a|9032|1995|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00||42.37426199999999|-71.03039500000001|n/a|9032|1995|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|Kendall|42.3623895|-71.08620309999999|519|3653|694|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|5923|1578|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|Downtown Crossing|42.3549395|-71.05975|918|9337|1105|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|3553|743|-71.0599775|42.3550909
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|Charles/MGH|42.3611521|-71.070619|660|4597|845|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|4265|1050|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|Harvard|42.3732593|-71.11873480000001|1|6|2|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|8978|1948|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|Central|42.3653463|-71.103606|324|1642|426|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|7432|1711|-71.103802|42.365486
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|State|42.3586466|-71.057326|n/a|6025|1094|-71.118956|42.373362|42.3747715|-71.0290294|581|4951|638|-71.0571914|42.35866960000001
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|Maverick|42.3691186|-71.0395296|n/a|7960|1834|-71.118956|42.373362|42.3747715|-71.0290294|282|2229|323|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|Aquarium|42.3597918|-71.0515702|n/a|6493|1475|-71.118956|42.373362|42.3747715|-71.0290294|548|5011|665|-71.05154639999999|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:30:00-05:00|Airport Station|42.37426199999999|-71.03039500000001|n/a|8978|1954|-71.118956|42.373362|42.3747715|-71.0290294|122|970|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-24 04:45:00-05:00||42.3747715|-71.0290294|1302|17264|1524|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00||42.37426199999999|-71.03039500000001|n/a|9105|1723|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00||42.37426199999999|-71.03039500000001|n/a|9105|1723|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|Kendall|42.3623895|-71.08620309999999|533|3653|694|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|6050|1224|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|Downtown Crossing|42.3549395|-71.05975|960|9337|1105|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|3553|795|-71.0599775|42.3550909
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|Charles/MGH|42.3611521|-71.070619|673|4597|845|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|4265|1122|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|Harvard|42.3732593|-71.11873480000001|1|6|2|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|9105|1660|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|Central|42.3653463|-71.103606|323|1642|426|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|7559|1356|-71.103802|42.365486
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|State|42.3586466|-71.057326|n/a|6025|1101|-71.118956|42.373362|42.3747715|-71.0290294|557|4951|638|-71.0571914|42.35866960000001
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|Maverick|42.3691186|-71.0395296|n/a|8086|1540|-71.118956|42.373362|42.3747715|-71.0290294|290|2229|323|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|Aquarium|42.3597918|-71.0515702|n/a|6493|1482|-71.118956|42.373362|42.3747715|-71.0290294|629|5011|665|-71.05154639999999|42.3596586
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 04:45:00-05:00|Airport Station|42.37426199999999|-71.03039500000001|n/a|9105|1660|-71.118956|42.373362|42.3747715|-71.0290294|104|970|108|-71.0305389|42.3745164
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-24 05:00:00-05:00||42.3747715|-71.0290294|1341|18524|1504|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00||42.37426199999999|-71.03039500000001|n/a|8769|1515|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00||42.37426199999999|-71.03039500000001|n/a|8769|1515|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00|Kendall|42.3623895|-71.08620309999999|573|3653|694|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|5714|1138|-71.0862248|42.3622401
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00|Charles/MGH|42.3611521|-71.070619|728|4597|845|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|4265|1028|-71.0705298|42.3611271
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00|Harvard|42.3732593|-71.11873480000001|1|6|2|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|8769|1513|-71.118956|42.373362
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00|Central|42.3653463|-71.103606|326|1642|426|-71.1186766|42.37328970000001|42.37426199999999|-71.03039500000001|n/a|7223|1199|-71.103802|42.365486
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00|Park Street|42.3563193|-71.0622047|811|8141|913|-71.1191387|42.3736294|42.37426199999999|-71.03039500000001|n/a|3746|784|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00|State|42.3586466|-71.057326|n/a|6025|1091|-71.118956|42.373362|42.3747715|-71.0290294|593|4951|638|-71.0571914|42.35866960000001
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-24 05:00:00-05:00|Maverick|42.3691186|-71.0395296|n/a|7750|1393|-71.118956|42.373362|42.3747715|-71.0290294|297|2229|323|-71.0396719|42.3691933
