origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-26 04:00:00-05:00||40.7714389|-73.8718939|1183|15864|1421|-73.99977539999999|40.7271183|||||||
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00||40.774038|-73.872079|n/a|19273|3064|-73.99437209999999|40.7284833|||||||
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00||40.774038|-73.872079|n/a|19273|3064|-73.99437209999999|40.7284833|||||||
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00|Grand Central - 42 St Station|40.7522756|-73.9774709|683|3761|929|-73.9932975|40.7295629|40.774059|-73.87185699999999|n/a|16868|2760|-73.9772294|40.7527262
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00|23 St|40.74003099999999|-73.98640879999999|406|1769|524|-73.9932975|40.7295629|40.774038|-73.872079|n/a|17686|2520|-73.9863381|40.7400007
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00|Astor Place Station|40.7301688|-73.99099249999999|137|579|167|-73.9932975|40.7295629|40.774038|-73.872079|n/a|18881|2760|-73.99107|40.730054
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00|28 St|40.7432513|-73.98390549999999|535|2196|669|-73.9932975|40.7295629|40.774038|-73.872079|n/a|17251|2460|-73.98386289999999|40.7433087
New York University|begin|start||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00|33 St|40.7466223|-73.9818023|650|3342|898|-73.9932975|40.7295629|40.774038|-73.872079|n/a|16861|2400|-73.9818873|40.7466576
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00|Grand Central Terminal|40.7505727|-73.97600709999999|n/a|3334|935|-73.99437209999999|40.7284833|40.7714389|-73.8718939|876|13332|892|-73.9760036|40.7505712
New York University|end|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-26 04:00:00-05:00|LaGuardia Airport|40.774038|-73.872079|n/a|19273|3064|-73.99437209999999|40.7284833|40.7733903|-73.8758481|98|339|83|-73.8720814|40.7740263
