origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
New York University|||tolls|LaGuardia Airport|driving|metric|eastern|2017-04-11 04:00:00-05:00||40.7715416|-73.8717269|1102|15932|1464|-73.9997754|40.7271183|||||||
New York University|begin|||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00||40.774038|-73.872079|n/a|19312|2944|-73.9943721|40.7284833|||||||
New York University|end|||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00||40.774038|-73.872079|n/a|19312|2944|-73.9943721|40.7284833|||||||
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00|40.7522756/-73.9774709|40.7522756|-73.9774709|690|3379|885|-73.9932975|40.7295629|40.774038|-73.872079|n/a|16415|1848|-73.9776136|40.7523191
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00|40.7400309999999/-73.9864087999999|40.740031|-73.9864088|387|1770|529|-73.9932975|40.7295629|40.774038|-73.872079|n/a|17702|2520|-73.9863381|40.7400007
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00|40.7301688/-73.9909924999999|40.7301688|-73.9909925|130|643|169|-73.9932975|40.7295629|40.774038|-73.872079|n/a|18829|2700|-73.99107|40.730054
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00|40.7432513/-73.9839054999999|40.7432513|-73.9839055|505|2253|675|-73.9932975|40.7295629|40.774038|-73.872079|n/a|17219|2460|-73.9838629|40.7433087
New York University|begin|start||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00|40.7466223/-73.9818023|40.7466223|-73.9818023|638|3379|899|-73.9932975|40.7295629|40.774038|-73.872079|n/a|16898|2400|-73.9818873|40.7466576
New York University|end|finish||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00|40.7505727/-73.9760070999999|40.7505727|-73.9760071|n/a|3379|935|-73.9943721|40.7284833|40.7715416|-73.8717269|787|13357|885|-73.9760036|40.7505712
New York University|end|finish||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:00:00-05:00|40.774038/-73.872079|40.774038|-73.872079|n/a|19312|3004|-73.9943721|40.7284833|40.7734912|-73.8758585|83|321|96|-73.8720814|40.7740263
New York University|||tolls|LaGuardia Airport|driving|metric|eastern|2017-04-11 04:12:00-05:00||40.7715416|-73.8717269|1149|15932|1464|-73.9997754|40.7271183|||||||
New York University|begin|||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:12:00-05:00||40.774059|-73.871857|n/a|19312|2979|-73.9943326|40.7285304|||||||
New York University|end|||LaGuardia Airport|transit|metric|eastern|2017-04-11 04:12:00-05:00||40.774059|-73.871857|n/a|19312|2979|-73.9943326|40.7285304|||||||
