origin|avoid|destination|mode|units|departure_time|distance|end_y|start_y|duration-sec|start_x|duration_in_traffic-sec|duration|end_x|duration_in_traffic
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:00:00.121492|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1012|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:00:01.230510|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:05:00.111802|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1011|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:05:00.541875|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:10:00.103915|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1000|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:10:00.507481|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:15:00.113913|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|987|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:15:01.071192|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:20:00.108507|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1015|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:20:00.537578|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:25:00.110086|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1022|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:25:00.510823|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:30:00.120185|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1031|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:30:01.176805|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:35:00.104117|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1030|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:35:00.926773|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:40:00.116513|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1013|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:40:00.544825|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:45:00.124759|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1018|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:45:01.137477|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:50:00.109256|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1025|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:50:00.944635|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:55:00.109200|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1036|18 mins|-93.2012623|17 mins
