origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-07 04:00:00-05:00||9.9 mi|40.7715416|-73.8717269|1126|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00||12.4 mi|40.7718584|-73.87163199999999|n/a|3090|-73.99437209999999|40.7284833
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00||12.4 mi|40.7718584|-73.87163199999999|n/a|3090|-73.99437209999999|40.7284833
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Grand Central - 42 St Station|2.1 mi|40.7522756|-73.9774709|694|885|-73.9932975|40.7295629|10.6 mi|40.7718584|-73.87163199999999|n/a|2114|-73.97761360000001|40.7523191
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00|23 St|1.1 mi|40.74003099999999|-73.98640879999999|374|529|-73.9932975|40.7295629|11.4 mi|40.7718584|-73.87163199999999|n/a|2606|-73.9863381|40.7400007
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.99099249999999|133|169|-73.9932975|40.7295629|12.1 mi|40.7718584|-73.87163199999999|n/a|2846|-73.99107|40.730054
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00|28 St|1.4 mi|40.7432513|-73.98390549999999|487|675|-73.9932975|40.7295629|11.1 mi|40.7718584|-73.87163199999999|n/a|2546|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00|33 St|2.1 mi|40.7466223|-73.9818023|691|899|-73.9932975|40.7295629|10.9 mi|40.7718584|-73.87163199999999|n/a|2486|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.97600709999999|n/a|935|-73.99437209999999|40.7284833|8.3 mi|40.7715416|-73.8717269|819|885|-73.9760036|40.7505712
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:00:00-05:00|LaGuardia Airport|12.0 mi|40.774038|-73.872079|n/a|2824|-73.99437209999999|40.7284833|0.2 mi|40.7734912|-73.87585849999999|80|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-07 04:10:00-05:00||9.9 mi|40.7715416|-73.8717269|1137|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00||11.2 mi|40.7718584|-73.87163199999999|n/a|3516|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00||11.2 mi|40.7718584|-73.87163199999999|n/a|3516|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|West 4 Street - Washington Square Station|0.2 mi|40.73101|-74.0013002|118|130|-74.0001873|40.7313277|10.8 mi|40.7718584|-73.87163199999999|n/a|3237|-74.0012201|40.7311041
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|47-50 Streets - Rockefeller Center Station|2.5 mi|40.7578741|-73.9819016|638|1035|-73.99977539999999|40.7271183|8.6 mi|40.7718584|-73.87163199999999|n/a|2757|-73.98179069999999|40.7578276
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Roosevelt Av - Jackson Heights Subway Station|7.5 mi|40.7465008|-73.8910021|1101|1453|-73.99977539999999|40.7271183|3.7 mi|40.7718584|-73.87163199999999|n/a|882|-73.8907842|40.7466375
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Northern Blvd|8.0 mi|40.7530768|-73.9069949|1199|1566|-73.99977539999999|40.7271183|4.0 mi|40.7718584|-73.87163199999999|n/a|2457|-73.9071013|40.7531039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Lexington Av - 63 St Subway Station|3.3 mi|40.76478729999999|-73.9664645|1082|1391|-73.9932975|40.7295629|7.4 mi|40.7718584|-73.87163199999999|n/a|2517|-73.96611299999999|40.764629
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|21 St - Queensbridge|4.5 mi|40.754101|-73.9423347|1187|1361|-73.9932975|40.7295629|6.0 mi|40.7718584|-73.87163199999999|n/a|2277|-73.94247419999999|40.75417770000001
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|83 St/30 Av|9.6 mi|40.761503|-73.885429|n/a|2799|-73.99433259999999|40.7285304|1.8 mi|40.7715416|-73.8717269|333|334|-73.8855018|40.7614955
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Roosevelt Av/82 St|8.5 mi|40.7476119|-73.8841818|n/a|2083|-73.99433259999999|40.7285304|3.2 mi|40.7715416|-73.8717269|441|527|-73.8841818|40.7476119
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|83 St/25 Av|9.7 mi|40.763305|-73.885729|n/a|2859|-73.99433259999999|40.7285304|1.2 mi|40.7692477|-73.8686737|399|368|-73.885824|40.763295
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Roosevelt Av/80 St|8.4 mi|40.7474055|-73.8862043|n/a|1955|-73.99433259999999|40.7285304|3.1 mi|40.7715416|-73.8717269|409|483|-73.8862043|40.7474055
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|23 Av/90 St|10.4 mi|40.7677353|-73.8803724|n/a|3116|-73.99433259999999|40.7285304|1.1 mi|40.7692477|-73.8686737|223|231|-73.880374|40.7677352
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|83 St/Northern Bl|9.2 mi|40.7556261|-73.8843654|n/a|2658|-73.99433259999999|40.7285304|2.2 mi|40.7715416|-73.8717269|474|500|-73.8844125|40.7555631
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Roosevelt Av/78 St|8.3 mi|40.7471813|-73.88771489999999|n/a|1868|-73.99433259999999|40.7285304|3.4 mi|40.7715416|-73.8717269|532|622|-73.8877146|40.747182
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|83 St/37 Av|8.8 mi|40.7502622|-73.883451|n/a|2353|-73.99433259999999|40.7285304|3.6 mi|40.7715416|-73.8717269|574|632|-73.883451|40.7502622
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|95 St/Ditmars Bl|10.8 mi|40.770302|-73.875496|n/a|3219|-73.99433259999999|40.7285304|0.4 mi|40.7692477|-73.8686737|95|100|-73.87554949999999|40.7702964
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|23 Av/88 St|10.3 mi|40.7674923|-73.8819686|n/a|3109|-73.99433259999999|40.7285304|1.0 mi|40.7692477|-73.8686737|212|217|-73.8819687|40.7674922
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Roosevelt Av/76 St|8.2 mi|40.7470639|-73.8894742|n/a|1750|-73.99433259999999|40.7285304|2.9 mi|40.7715416|-73.8717269|371|423|-73.8894742|40.7470639
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|23 Av/85 St|10.4 mi|40.7670803|-73.884843|n/a|3223|-73.99433259999999|40.7285304|1.8 mi|40.7715416|-73.8717269|399|403|-73.8848229|40.7669891
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Astoria Bl/84 St|9.9 mi|40.7645659|-73.88488579999999|n/a|2957|-73.99433259999999|40.7285304|1.1 mi|40.7692477|-73.8686737|331|296|-73.88488579999999|40.7645659
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|23 Av/87 St|10.2 mi|40.767246|-73.88237|n/a|3039|-73.99433259999999|40.7285304|0.7 mi|40.7692477|-73.8686737|215|185|-73.88239519999999|40.7673296
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Roosevelt Av/74 St|8.1 mi|40.7466891|-73.8908579|n/a|1599|-73.99433259999999|40.7285304|2.9 mi|40.7715416|-73.8717269|338|376|-73.8912643|40.7468549
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|23 Av/92 St|10.5 mi|40.767855|-73.87803|n/a|3099|-73.99433259999999|40.7285304|0.5 mi|40.7692477|-73.8686737|131|133|-73.8780363|40.7678862
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|Manager's Parking Lot|10.6 mi|40.7684544|-73.8762951|n/a|3164|-73.99433259999999|40.7285304|0.4 mi|40.7692477|-73.8686737|110|109|-73.8762953|40.76845549999999
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|83 St/Roosevelt Av|8.6 mi|40.7477494|-73.8828983|n/a|2166|-73.99433259999999|40.7285304|3.3 mi|40.7715416|-73.8717269|467|572|-73.8828983|40.7477494
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:10:00-05:00|74 St - Roosevelt Av Term/Q33 Stop|8.2 mi|40.7466109|-73.8908166|n/a|1717|-73.99433259999999|40.7285304|2.9 mi|40.7715416|-73.8717269|346|390|-73.8909686|40.7464861
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-07 04:20:00-05:00||9.9 mi|40.7715416|-73.8717269|1149|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00||12.4 mi|40.7718584|-73.87163199999999|n/a|3030|-73.99437209999999|40.7284833
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 04:20:00-05:00||12.4 mi|40.7718584|-73.87163199999999|n/a|3030|-73.99437209999999|40.7284833
