origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-20 04:00:00-05:00||40.7714389|-73.8718939|1166|15864|1421|-73.99977539999999|40.7271183|||||||
New York University|begin|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00||40.774038|-73.872079|n/a|19273|2944|-73.99437209999999|40.7284833|||||||
New York University|end|start||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00||40.774038|-73.872079|n/a|19273|2944|-73.99437209999999|40.7284833|||||||
New York University|begin|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00||n/a|n/a|n/a|n/a|n/a|n/a|n/a|||||||
New York University|begin|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00|23 St|40.7400007|-73.9863381|n/a|1610|484|-73.99437209999999|40.7284833|40.7692473|-73.8686737|1107|14579|1241|-73.98640879999999|40.74003099999999
New York University|begin|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Astor Place Station|40.7301722|-73.99098959999999|n/a|404|321|-73.99437209999999|40.7284833|40.7685373|-73.86533229999999|1318|18723|1516|-73.99099249999999|40.7301688
New York University|begin|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00|28 St|40.7433087|-73.98386289999999|n/a|2021|544|-73.99437209999999|40.7284833|40.7685373|-73.86533229999999|1068|17327|1209|-73.98390549999999|40.7432513
New York University|begin|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00|33 St|40.7466576|-73.9818873|n/a|2445|664|-73.99437209999999|40.7284833|40.7692473|-73.8686737|1070|14274|1175|-73.9818023|40.7466223
New York University|end|start||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00|Grand Central Terminal|40.7505712|-73.9760036|723|3897|1024|-73.9932975|40.7295629|40.774038|-73.872079|n/a|15963|1500|-73.97608699999999|40.75058
New York University|end|start||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:00:00-05:00|LaGuardia Airport|40.7740263|-73.8720814|1328|16422|1523|-73.99977539999999|40.7271183|40.7740261|-73.8720804|n/a|0|0|-73.8720804|40.7740261
New York University|||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-20 04:15:00-05:00||40.7692473|-73.8686737|1212|16408|1533|-73.9932975|40.7295629|||||||
New York University|begin|finish||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:15:00-05:00||40.774059|-73.87185699999999|n/a|18252|2439|-73.99433259999999|40.7285304|||||||
New York University|end|start||LaGuardia Airport|transit|imperial|eastern|2017-04-20 04:15:00-05:00||40.774059|-73.87185699999999|n/a|18252|2439|-73.99433259999999|40.7285304|||||||
