origin|avoid|destination|mode|units|timezone|departure_time|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
One Prudential Plaza Chicago IL|tolls|(41.961216, -87.713354)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.9611459|-87.7133523|988|12817|1277|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.961216, -87.69735975)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.9612614|-87.6973599|1083|12432|1368|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.961216, -87.6813655)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.9612155|-87.681388|1073|13379|1233|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.961216, -87.66537124999999)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.9611771|-87.6651572|983|11912|1091|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.961216, -87.649377)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.9609489|-87.6493686|749|10896|808|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.954185, -87.713354)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.9543522|-87.7133612|906|12657|1131|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.954185, -87.69735975)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.954035|-87.6973577|1026|11675|1296|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.954185, -87.6813655)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.9541705|-87.6813646|987|12621|1169|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.954185, -87.66537124999999)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.9543384|-87.6653771|842|11298|965|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.954185, -87.649377)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.95418129999999|-87.64971159999999|763|10355|836|-87.6231086|41.8845067
One Prudential Plaza Chicago IL|tolls|(41.947154, -87.713354)|driving|imperial|central|2017-04-19 05:00:00-05:00|41.94715430000001|-87.713336|740|11845|949|-87.6231086|41.8845067
