origin|avoid|destination|mode|units|departure_time|distance|end_y|start_y|duration-sec|start_x|duration_in_traffic-sec|duration|end_x|duration_in_traffic
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 00:00:00.030088|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1155|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 00:00:01.142666|9.9 mi|40.7718585|40.7284833|3571|-73.99437209999999|n/a|1 hour 0 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 00:05:00.125248|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1142|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 00:05:00.931783|9.9 mi|40.7718585|40.7284833|3571|-73.99437209999999|n/a|1 hour 0 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 00:10:00.038075|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1130|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 00:10:00.470073|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 00:15:00.116047|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1116|26 mins|-73.8717269|19 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 00:15:00.735721|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 00:20:00.037383|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1098|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 00:20:00.908660|11.7 mi|40.7718585|40.7285304|3361|-73.99433259999999|n/a|56 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 00:25:00.065083|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1097|26 mins|-73.8717269|18 mins
New York University||LaGuardia Airport|transit|imperial|2017-03-22 00:25:00.491128|11.9 mi|40.7718585|40.7285304|3481|-73.99433259999999|n/a|58 mins|-73.8716326|n/a
New York University|tolls|LaGuardia Airport|driving|imperial|2017-03-22 00:30:00.094840|10.0 mi|40.7715416|40.7295629|1546|-73.9932975|1112|26 mins|-73.8717269|19 mins
