origin|avoid|destination|mode|units|departure_time|distance|end_y|start_y|duration-sec|start_x|duration_in_traffic-sec|duration|end_x|duration_in_traffic
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 00:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1024|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 02:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1044|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1029|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 06:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1032|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 08:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1233|18 mins|-93.2012623|21 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 10:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1038|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 12:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1050|18 mins|-93.2012623|18 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 14:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1063|18 mins|-93.2012623|18 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 16:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1351|18 mins|-93.2012623|23 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 18:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1312|18 mins|-93.2012623|22 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 20:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1056|18 mins|-93.2012623|18 mins
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 22:00:00-05:00|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1045|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 00:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 02:00:00-05:00|18.6 mi|44.881346|44.9807362|4667|-93.2785451|n/a|1 hour 18 mins|-93.205536|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 06:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 08:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 10:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 12:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 14:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 16:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 18:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 20:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 22:00:00-05:00|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
