origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y|end_y|end_x|duration_in_traffic-sec|distance_m|duration-sec|start_x|start_y
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:00:00-05:00||41.9797233|-87.88225249999999|1554|36662|1839|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:05:00-05:00||41.97766499999999|-87.90422099999999|n/a|39116|4246|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:10:00-05:00||41.97766499999999|-87.90422099999999|n/a|39116|4245|-87.61759029999999|41.7929603|||||||
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:05:00-05:00|41.8857335/-87.6315556|41.8857335|-87.6315556|936|13304|1149|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|27722|2280|-87.6315547|41.8857522
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:05:00-05:00|41.8319786/-87.625978|41.8319786|-87.62597799999999|533|5957|579|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|34149|3446|-87.6258739|41.8319805
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:05:00-05:00|41.8858195/-87.6278724|41.8858195|-87.6278724|965|13605|1267|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|28000|2538|-87.62802219999999|41.885817
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:05:00-05:00|41.8849932/-87.6278985|41.8849932|-87.6278985|943|13512|1234|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|28457|2727|-87.6278136|41.8849937
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:05:00-05:00|41.7947391/-87.618398|41.79473910000001|-87.618398|103|536|110|-87.61755509999999|41.7929609|41.97766499999999|-87.90422099999999|n/a|38739|3959|-87.61832400000002|41.795174
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:05:00-05:00|41.8741479/-87.6275161|41.8741479|-87.6275161|887|10514|965|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|29659|2944|-87.6275161|41.8741479
Washington Park Chicago IL||tolls|Ohare Airport|driving|imperial|central|2017-04-05 05:05:00-05:00|41.8217417/-87.6215403|41.8217417|-87.62154029999999|406|3473|429|-87.61759029999999|41.7929603|41.97766499999999|-87.90422099999999|n/a|35619|3560|-87.621368|41.821732
